user_input,label
i want a new phone,1
i need a new phone ,1
i need a mobile phone as well,1
i want a mobile phone as well,1
i would like to have a mobile phone as well,1
suggest me a mobile phone as well,1
recommend me a mobile phone as well,1
i would like to have a new phone,1
i am looking for a new phone,1
i want a new mobile phone,1
i need a new mobile phone,1
i would like to have a new mobile phone,1
i am looking for a new mobile phone,1
suggest me a new phone,1
suggest me a new mobile phone,1
i would like to buy a new phone,1
i would like to buy a new mobile phone,1
i want to buy a new phone,1
i want to buy a new mobile phone,1
i need to buy a new phone,1
i need to buy a new mobile phone,1
i need an iphone x,1
i want an iphone x,1
i would like to have an iphone x,1
i need a samsung phone,1
i want a nokia phone,1
i would like to have an iphone,1
i want a mobilephone,1
i need a mobilephone,1
i would like to have a mobilephone,1
suggest me a good mobile phone,1
recommend me a mobile phone,1
i need a smartphone,1
i want a smartphone,1
i would like to have a smartphone,1
looking for a smartphone,1
i am looking for a smartphone,1 
i need a mobile phone with 4gb ram and 128 gb storage,1
i want a mobile phone with screen size more than 5 inch and within 1000 dirhams,1
i would like to have a mobile phone with a good ram,1
i want a mobile phone with a better screen size,1
i would like to have a mobile phone with good storage,1
what are the best mobile phones in market now?,1
what are the best mobile phones available?,1
tell me about the best mobile phones in market,1
what are the features of iphone?,1
what are the specifications of galaxy?,1
tell me the features of iphone,1
tell me the specifications of galaxy,1
i need a mobile phone with good camera,1
i want a mobile phone with good camera and better storage,1
i would like to have a mobile phone with a great battery life,1
suggest me mobile phones with good screen size,1
recommend me mobile phones with better camera and good storage,1
i am looking for a mobile phone with great camera and better battery life,1
help me in selecting a mobile phone,1
help me in finding a mobile phone,1
help me in picking a mobile phone,1
help me in buying a mobile phone,1
help me in purchasing a mobile phone,1
assist me in selecting a mobile phone,1
assist me in finding a mobile phone,1
assist me in picking a mobile phone,1
assist me in buying a mobile phone,1
assist me in purchasing a mobile phone,1
help me in selecting a mobile phone with a good camera and a better battery,1
assist me in finding a mobile phone with a better storage and a good camera,1
do you have a mobile phone with 4gb ram and 128 gb storage,1
do you have a mobile phone with good camera and great storage,1
do you have a mobile phone with good camera and better battery,1
do you have a mobile phone,1
can you show me some mobile phones,1
show me some mobile phones,1
what are the mobile phone available here,1
apple,1
samsung,1
blackberry,1
black berry,1
i need a data plan,2
i want a data plan,2
i would like to have a data plan,2
suggest me a data plan,2
recommend me a data plan,2
tell me a good data plan,2
i need a gsm data plan,2
i want a gsm data plan,2
i would like to have a gsm data plan,2
suggest me a gsm data plan,2
recommend me a gsm data plan,2
tell me a good gsm data plan,2
i want a postpaid connection,2
i want a postpaid plan,2
i want a new postpaid connection,2
i need a postpaid connection,2
i need a postpaid plan,2
i need a new postpaid connection,2
i need a new postpaid plan,2
i would like to have a postpaid connection,2
i would like to have a postpaid plan,2
i want a gsm plan with postpaid connection,2
i need a gsm connection with postpaid plan,2
suggest me a postpaid plan,2
recommend me a postpaid plan,2
i would like to purchase a sim with a postpaid plan,2
i would like to purchase a postpaid plan with international calls,2
i want a prepaid connection,2
i want a prepaid plan,2
i want a new prepaid connection,2
i want a new prepaid plan,2
i need a prepaid connection,2
i need a prepaid plan,2
i need a new prepaid connection,2
i need a new prepaid plan,2
i need a plan as well,2
i need a prepaid plan as well,2
i want a plan as well,2
i want a prepaid plan as well,2
i would like to have a prepaid plan as well,2
i would like to have a plan as well,2
suggest me a plan as well,2
recommend me a plan as well,2
i want to buy a prepaid plan,2
i need to buy a prepaid plan,2
i would like to have a prepaid plan,2
i am looking to buy a prepaid plan,2
i need to purchase a prepaid plan,2
i want to purchase a prepaid plan,2
i would like to purchase a prepaid plan,2
i am looking to purchase a prepaid plan,2
i need to buy a sim with prepaid plan,2
i want to buy a sim with prepaid plan,2
i would like to buy a sim with a prepaid plan,2
i am looking to buy a sim with a prepaid plan,2
i need to purchase a sim with prepaid plan,2
i want to purchase a sim with prepaid plan,2
i would like to purchase a sim with a prepaid plan,2
i am looking to purchase a sim with a prepaid plan,2
i need to purchase a prepaid plan with international calls,2
i want to purchase a prepaid plan with international calls,2
i would like to purchase a prepaid plan with international calls,2
i am looking to purchase a prepaid plan with international calls,2
i need to buy a prepaid plan with international calls,2
i want to buy a prepaid plan with international calls,2
i would like to buy a prepaid plan with international calls,2
i am looking to buy a prepaid plan with international calls,2
i would like to have a prepaid connection,2
i would like to have a prepaid plan,2
i would like to have a new prepaid connection,2
i would like to have a new prepaid plan,2
suggest me a prepaid connection,2
suggest me a prepaid plan,2
suggest me a new prepaid connection,2
suggest me a new prepaid plan,2
recommend me a prepaid plan,2
i am looking for a prepaid connection,2
i am looking for a prepaid plan,2
i am looking for a new prepaid connection,2
i am looking for a new prepaid plan,2
what are the plans available here?,2
what are the best prepaid plans available here?,2
tell me about the available prepaid plans,2
daily plan,2
monthly plan,2
weekly plan,2
daily,2
monthly,2
weekly,2
i need a daily plan,2
i need a weekly plan,2
i need a monthly plan,2
i want a daily plan,2
i want a weekly plan,2
i want a monthly plan,2
i need a prepaid plan with international calls,2
i want a prepaid plan with international calls,2
i would like to have a prepaid plan with international calls,2
i am looking for a prepaid plan with international calls,2
suggest me a prepaid plan with international calls,2
recommend me a prepaid plan with international calls,2
i need a prepaid plan with voice calls,2
i want a prepaid plan with voice calls,2
i would like to have a prepaid plan with voice calls,2
i am looking for a prepaid plan with voice calls,2
suggest me a prepaid plan with voice calls,2
recommend me a prepaid plan with voice calls,2
i need a prepaid plan with data,2
i want a prepaid plan with data,2
i would like to have a prepaid plan with data,2
i am looking for a prepaid plan with data,2
suggest me a prepaid plan with data,2
recommend me a prepaid plan with data,2
i need a sim with prepaid plan and international calls,2
i want a sim with prepaid plan and international calls,2
i would like to have a sim with prepaid plan and international calls,2
i am looking for a sim with prepaid plan and international calls,2
suggest me a sim with prepaid plan and international calls,2
recommend me a sim with prepaid plan and international calls,2
help me in selecting a prepaid plan,2
help me in finding a prepaid connection,2
help me in picking a prepaid plan,2
help me in buying a prepaid connection,2
help me in purchasing a prepaid plan with international calls,2
assist me in selecting a prepaid plan,2
assist me in finding a prepaid plan,2
assist me in picking a prepaid connection,2
assist me in buying a prepaid plan,2
assist me in purchasing a prepaid plan,2
help me in selecting a prepaid plan with international calls,2
assist me in finding a prepaid plan with international calls,2
do you have a sim with a prepaid plan,2
do you have a sim with a prepaid plan and international calls,2
do you have a prepaid connection with international calls,2
do you have a prepaid plan with international calls,2
do you have a prepaid plan,2
do you have a prepaid connection,2
can you show me the prepaid plans,2
can you show me some of your prepaid plans,2
show me prepaid plans,2
prepaid,2
pre-paid,2
postpaid,2
post-paid,2
i need a combo pack,2
i need a visitor line,2
i need a prepaid data plan,2
i need a combo,2
i need a visitor pack,2
i need a visitor line pack,2
i want a combo pack,2
i would like to have a combo pack,2
i want a visitor line,2
i would like to have a visitor line,2
i want a prepaid data plan,2
i would like to have a prepaid data plan,2
i want a prepaid data,2
i would like to have a prepaid data,2
i need a 500 aed pack,2
i need a 1000 aed pack,2
i need a 250 aed pack,2
i need a 150 aed pack,2
i want a 500 aed pack,2
i would like to have a 500 aed pack,2
i want a 1000 aed pack,2
i would like to have a 1000 aed pack,2
i want a 250 aed pack,2
i would like to have a 250 aed pack,2
i want a 150 aed pack,2
i would like to have a 150 aed pack,2
i need a landline,4
i want a landline,4
